Tipo;Produto;Ano;Quantidade
su_Suco de uva orgânico;Suco de uva orgânico;1976;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1976;0
DERIVADOS;DERIVADOS;1976;22925012
de_Espumante;Espumante;1976;0
de_Espumante moscatel;Espumante moscatel;1976;0
de_Base espumante;Base espumante;1976;0
de_Base espumante moscatel;Base espumante moscatel;1976;0
de_Base Champenoise champanha;Base Champenoise champanha;1976;0
de_Base Charmat champanha;Base Charmat champanha;1976;0
de_Bebida de uva;Bebida de uva;1976;0
de_Polpa de uva;Polpa de uva;1976;0
de_Mosto simples;Mosto simples;1976;18220527
de_Mosto concentrado;Mosto concentrado;1976;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1976;0
de_Mosto dessulfitado;Mosto dessulfitado;1976;0
de_Mistelas;Mistelas;1976;205500
de_Néctar de uva;Néctar de uva;1976;0
de_Licorosos;Licorosos;1976;4400
de_Compostos;Compostos;1976;0
de_Jeropiga;Jeropiga;1976;107500
de_Filtrado;Filtrado;1976;0
de_Frisante;Frisante;1976;0
de_Vinho leve;Vinho leve;1976;0
de_Vinho licoroso;Vinho licoroso;1976;0
de_Brandy;Brandy;1976;0
de_Destilado;Destilado;1976;0
de_Bagaceira;Bagaceira;1976;705912
de_Licor de bagaceira;Licor de bagaceira;1976;0
de_Vinagre;Vinagre;1976;288000
de_Borra líquida;Borra líquida;1976;3393173
de_Borra seca;Borra seca;1976;0
de_Vinho Composto;Vinho Composto;1976;0
de_Pisco;Pisco;1976;0
de_Vinho orgânico;Vinho orgânico;1976;0
de_Espumante orgânico;Espumante orgânico;1976;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1976;0
de_Vinho acidificado ;Vinho acidificado ;1976;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1976;0
de_Outros derivados;Outros derivados;1976;0
VINHO DE MESA;VINHO DE MESA;1977;195359778
vm_Tinto;Tinto;1977;154801826
vm_Branco;Branco;1977;4954387
vm_Rosado;Rosado;1977;35603565
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1977;41264971
vv_Tinto;Tinto;1977;16131758
vv_Branco;Branco;1977;20409231
vv_Rosado;Rosado;1977;4723982
SUCO;SUCO;1977;0
su_Suco de uva simples;Suco de uva integral;1977;0
su_Suco concentrado;Suco de uva concentrado;1977;0
su_Suco de uva adoçado;Suco de uva adoçado;1977;0
su_Suco de uva orgânico;Suco de uva orgânico;1977;0
su_Suco de uva reconstituído;Suco de uva reconstituído;1977;0
DERIVADOS;DERIVADOS;1977;24015856
de_Espumante;Espumante;1977;0
de_Espumante moscatel;Espumante moscatel;1977;0
de_Base espumante;Base espumante;1977;0
de_Base espumante moscatel;Base espumante moscatel;1977;0
de_Base Champenoise champanha;Base Champenoise champanha;1977;0
de_Base Charmat champanha;Base Charmat champanha;1977;0
de_Bebida de uva;Bebida de uva;1977;0
de_Polpa de uva;Polpa de uva;1977;0
de_Mosto simples;Mosto simples;1977;22097156
de_Mosto concentrado;Mosto concentrado;1977;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1977;0
